"","OTU","Sample","Abundance","group","loc","site","year","season","season2","state","depth","water","TOM","Bio","hCOM","lCOM","NO3","NO2","NH4","P","pH","Salinity","mcrA_DW","mean_temp","sd_temp","mean_hum","sd_hum","mean_precip","sd_precip","Drought_Status","Drought_Prop","season3","Month","Mean_GW","SD_GW","aerobic_ammonia_oxidation","Nutrient_Date","Domain","Kingdom","Group","Phylum","Class","Order","Family","Genus","Species"
"1","Dada80","X16S.18AugCD305",95489142.97,"18AugCD3","CD","C",18,"August","18-Aug","D","05-10 cm",28.06896552,246.6767328,20.76173635,107.5964083,104.6910972,3.6,0,2.7,0.1,6.96,1.51,169000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-81.96047439,6.347956157,0.37,"Original","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosotaleales","Ca. Nitrosotalea family incertae sedis","Ca. Nitrosotalea",NA
"2","Dada55","X16S.18OctPD105",80270270.27,"18OctPD1","PD","P",18,"October","18-Oct","D","05-10 cm",67.0212766,859.59,101,589.43,169.16,NA,0.14,27.29,2.38,6.3,0.23,956000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,"Drought",1,"Autumn",10,-59.32242608,6.521863229,5.15,"March","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosotaleales","Ca. Nitrosotalea family incertae sedis","Ca. Nitrosotalea",NA
"3","Dada80","X16S.18JunCD305",58422147.79,"18JunCD3","CD","C",18,"June","18-Jun","D","05-10 cm",35.3,309.67,26.08,81.14,202.46,0.16,0.08,5.06,0.24,6.28,2.13,134000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-65.02782292,4.960389042,0.62,"March","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosotaleales","Ca. Nitrosotalea family incertae sedis","Ca. Nitrosotalea",NA
"4","Dada55","X16S.18JunPD105",55064614.09,"18JunPD1","PD","P",18,"June","18-Jun","D","05-10 cm",70.7,1497.76,125.41,757.69,614.66,5.31,0.38,17.98,2.92,6.49,0.23,643000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-59.09927431,4.650930397,3.39,"March","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosotaleales","Ca. Nitrosotalea family incertae sedis","Ca. Nitrosotalea",NA
"5","Dada1028","X16S.19FebPD105",40438453.56,"19FebPD1","PD","P",19,"February","19-Feb","D","05-10 cm",66.27,NA,NA,NA,NA,35.82,NA,9.57,3,6.32,NA,912000,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,"Non-drought",0,"Winter",2,-10.1771503,3.441690968,4.25,"April","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales",NA,NA,NA
"6","Dada3546","X16S.19FebPD105",37742556.66,"19FebPD1","PD","P",19,"February","19-Feb","D","05-10 cm",66.27,NA,NA,NA,NA,35.82,NA,9.57,3,6.32,NA,912000,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,"Non-drought",0,"Winter",2,-10.1771503,3.441690968,4.25,"April","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales",NA,NA,NA
"7","Dada80","X16S.18JunPD105",36914825.09,"18JunPD1","PD","P",18,"June","18-Jun","D","05-10 cm",70.7,1497.76,125.41,757.69,614.66,5.31,0.38,17.98,2.92,6.49,0.23,643000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-59.09927431,4.650930397,3.39,"March","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosotaleales","Ca. Nitrosotalea family incertae sedis","Ca. Nitrosotalea",NA
"8","Dada55","X16S.18AugPD105",35931036.14,"18AugPD1","PD","P",18,"August","18-Aug","D","05-10 cm",71.65384615,723.6720788,121.5518288,483.4089088,95.0616518,169.4,0.1,13.7,4.5,6.4,0.24,589000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-68.49962702,8.743766467,4.75,"Original","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosotaleales","Ca. Nitrosotalea family incertae sedis","Ca. Nitrosotalea",NA
"9","Dada643","X16S.18JunPD105",34453836.75,"18JunPD1","PD","P",18,"June","18-Jun","D","05-10 cm",70.7,1497.76,125.41,757.69,614.66,5.31,0.38,17.98,2.92,6.49,0.23,643000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-59.09927431,4.650930397,3.39,"March","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosotaleales","EU309863",NA,NA
"10","Dada55","X16S.18AprPD205",31670461.6,"18AprPD2","PD","P",18,"April","18-Apr","D","05-10 cm",75.6,763.42,171.9266667,455.2739394,76.98060606,4.6,0.3,4.2,0.6,6.04,0.1,541000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,"Non-drought",0,"Spring",4,0.40478125,4.589609735,4.4,"Original","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosotaleales","Ca. Nitrosotalea family incertae sedis","Ca. Nitrosotalea",NA
